product_id,year,month,day,sku_sold
0,2021,6,25,624
1,2021,10,25,876
2,2021,2,9,579
3,2021,1,25,366
3,2021,1,30,361
2,2021,5,7,461
4,2021,5,10,731
4,2021,5,13,728
5,2021,6,10,1137
4,2021,6,21,726
4,2021,7,8,729
6,2021,9,13,964
2,2021,4,6,404
2,2021,5,5,402
3,2021,12,17,292
2,2021,4,2,343
5,2021,3,11,851
7,2021,9,23,366
1,2021,7,1,440
1,2021,7,13,438
7,2021,4,1,344
2,2021,2,19,289
2,2021,2,24,290
2,2021,3,25,285
2,2021,3,30,290
8,2021,1,5,307
9,2021,1,15,187
10,2021,7,13,377
1,2021,10,19,380
7,2021,2,23,297
7,2021,3,12,292
8,2021,2,5,286
11,2021,1,21,252
7,2021,4,14,280
7,2021,9,21,281
7,2021,3,26,277
7,2021,2,25,273
7,2021,10,28,276
7,2021,5,3,273
7,2021,9,30,274
7,2021,11,17,273
7,2021,3,3,272
8,2021,4,26,269
5,2021,8,27,587
12,2021,2,15,188
7,2021,2,19,258
5,2021,4,2,570
13,2021,4,21,363
14,2021,1,30,573
15,2021,2,11,480
2,2021,2,12,231
16,2021,2,15,253
2,2021,2,22,229
2,2021,3,17,231
2,2021,3,18,228
2,2021,3,19,231
2,2021,4,1,231
2,2021,4,7,230
2,2021,5,10,231
2,2021,5,11,228
7,2021,11,29,251
7,2021,3,2,249
7,2021,10,13,247
7,2021,3,11,245
17,2021,5,13,245
11,2021,5,12,217
7,2021,3,23,239
7,2021,3,31,238
7,2021,4,19,237
17,2021,5,4,237
8,2021,3,15,232
7,2021,4,7,231
7,2021,11,18,234
7,2021,3,22,229
8,2021,4,6,231
7,2021,1,18,227
17,2021,4,28,227
7,2021,2,22,226
7,2021,4,6,226
8,2021,3,26,222
7,2021,2,26,223
7,2021,4,16,223
7,2021,10,14,222
18,2021,4,21,133
16,2021,2,22,217
7,2021,11,30,217
7,2021,4,28,214
19,2021,6,7,263
8,2021,2,26,210
8,2021,3,25,209
7,2021,4,15,208
7,2021,10,22,209
11,2021,5,13,189
3,2021,1,15,145
20,2021,2,15,183
6,2021,5,20,385
17,2021,4,22,200
8,2021,9,17,202
21,2021,11,22,142
7,2021,4,5,199
11,2021,4,23,179
22,2021,5,27,283
8,2021,3,31,196
7,2021,4,27,196
7,2021,11,11,196
7,2021,11,16,195
8,2021,5,13,196
7,2021,3,25,193
21,2021,4,5,138
8,2021,4,27,191
21,2021,5,13,137
16,2021,1,19,190
23,2021,2,12,427
24,2021,2,26,365
2,2021,2,26,172
7,2021,3,8,191
2,2021,3,8,173
2,2021,3,11,171
11,2021,3,26,173
2,2021,4,5,173
2,2021,4,23,172
25,2021,4,29,190
8,2021,5,3,192
2,2021,5,4,171
17,2021,5,12,192
2,2021,5,25,173
2,2021,5,27,171
2,2021,5,28,172
24,2021,11,12,363
7,2021,3,1,187
18,2021,5,3,117
8,2021,1,6,187
13,2021,4,16,264
26,2021,11,12,187
8,2020,12,30,184
8,2020,12,31,183
7,2021,1,4,183
8,2021,3,3,182
7,2021,5,10,182
18,2021,5,12,114
8,2021,11,5,185
7,2021,11,10,180
21,2021,11,29,129
8,2021,1,19,180
7,2021,3,17,181
7,2021,3,19,179
21,2021,4,26,129
13,2021,4,26,257
27,2021,1,26,109
7,2021,3,4,176
28,2021,10,19,222
29,2021,10,19,160
8,2021,4,14,174
30,2021,9,14,125
7,2021,1,13,173
31,2021,3,4,250
7,2021,4,2,174
11,2021,5,11,157
8,2021,8,9,172
11,2021,1,8,154
7,2021,2,16,170
8,2021,3,9,171
7,2021,3,18,172
7,2021,10,15,171
21,2021,11,17,122
8,2021,4,2,170
8,2021,4,8,169
11,2021,4,29,152
13,2021,5,12,240
