# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 260         5.180       52.100      1.90        De Bilt     
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
# TN        : Minimum temperatuur (in 0.1 graden Celsius) / Minimum temperature (in 0.1 degrees Celsius)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# SQ        : Zonneschijnduur (in 0.1 uur) berekend uit de globale straling (-1 voor <0.05 uur) / Sunshine duration (in 0.1 hour) calculated from global radiation (-1 for <0.05 hour)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# STN,YYYYMMDD,   TG,   TN,   TX,   SQ,   RH
  260,20170101,    5,   -8,   19,    0,   19
  260,20170102,   30,   -3,   68,   43,    5
  260,20170103,   50,   15,   71,    5,    7
  260,20170104,   58,   26,   73,   33,   18
  260,20170105,    0,  -59,   33,   58,   -1
  260,20170106,  -30,  -65,   -3,   62,    0
  260,20170107,   -2,  -21,   34,    0,   52
  260,20170108,   43,   28,   61,    0,    0
  260,20170109,   48,   33,   59,    0,   48
  260,20170110,   53,   29,   66,   10,   38
  260,20170111,   72,   57,  104,   28,    5
  260,20170112,   52,    2,   74,   14,  143
  260,20170113,   31,    2,   56,   32,   96
  260,20170114,   18,    1,   48,   23,   51
  260,20170115,    7,  -18,   48,   33,    0
  260,20170116,  -16,  -44,   12,   18,   -1
  260,20170117,  -34,  -50,   13,   36,    0
  260,20170118,  -38,  -53,  -19,   18,   -1
  260,20170119,  -20,  -56,   31,   67,    0
  260,20170120,   -3,  -52,   51,   71,    0
  260,20170121,   -2,  -52,   50,   75,    0
  260,20170122,  -17,  -74,   37,   75,    0
  260,20170123,   16,   -3,   31,    2,   -1
  260,20170124,    8,    0,   21,    0,    3
  260,20170125,  -11,  -43,    6,    0,    0
  260,20170126,  -28,  -53,    6,   65,    0
  260,20170127,    8,  -70,   51,   57,    0
  260,20170128,   54,   20,   81,   16,   -1
  260,20170129,   47,   31,   65,    5,   36
  260,20170130,   49,   28,   72,    0,   65
  260,20170131,   37,   26,   61,    8,    0
  260,20170201,   34,    5,   54,    0,   12
  260,20170202,   86,   52,  125,   31,   10
  260,20170203,   86,   63,  119,   15,    1
  260,20170204,   57,   26,   74,    2,   83
  260,20170205,   44,  -11,   77,   41,   -1
  260,20170206,   43,  -10,   66,    0,    0
  260,20170207,   24,    9,   39,    0,   25
  260,20170208,    0,  -11,    9,    0,    2
  260,20170209,  -16,  -30,  -10,    0,   -1
  260,20170210,  -23,  -45,  -13,    0,    2
  260,20170211,   -4,  -17,   10,    0,   45
  260,20170212,    7,   -6,   25,   45,    3
  260,20170213,   22,  -14,   71,   87,    0
  260,20170214,   38,   -5,   94,   87,    0
  260,20170215,   74,    3,  135,   75,   -1
  260,20170216,   68,   55,   99,    7,    5
  260,20170217,   70,   52,   86,    2,    6
  260,20170218,   56,   32,  103,   49,    0
  260,20170219,   62,   32,   92,    4,    6
  260,20170220,   91,   72,  109,    0,   53
  260,20170221,   96,   86,  111,   54,    3
  260,20170222,   95,   78,  108,    0,  175
  260,20170223,   80,   42,  105,    2,  145
  260,20170224,   45,   -6,   87,   68,    6
  260,20170225,   58,   18,   89,    5,    7
  260,20170226,   87,   67,  106,    0,   21
  260,20170227,   87,   43,  106,    3,  138
  260,20170228,   47,   32,   65,   21,   28
  260,20170301,   63,   32,   94,   38,   35
  260,20170302,   66,   42,   82,   11,   84
  260,20170303,   59,   12,   88,   14,   11
  260,20170304,   92,   62,  132,    6,   61
  260,20170305,   69,   38,  106,   42,   38
  260,20170306,   60,   32,   95,   43,   23
  260,20170307,   67,   45,   94,   16,    1
  260,20170308,   59,    8,  106,    2,  137
  260,20170309,   77,    7,  128,   45,    1
  260,20170310,   65,   -9,  112,   80,    0
  260,20170311,   73,   15,  130,   64,    0
  260,20170312,   79,   14,  148,   98,    0
  260,20170313,   65,   -5,  137,   81,    0
  260,20170314,   88,   32,  149,   45,    0
  260,20170315,   90,   16,  139,   84,    0
  260,20170316,   94,   11,  168,  109,    0
  260,20170317,   83,   67,  103,   42,   57
  260,20170318,   97,   74,  127,    1,   62
  260,20170319,  113,   98,  127,    7,    2
  260,20170320,  103,   88,  115,    0,   94
  260,20170321,   75,   13,   98,   88,   -1
  260,20170322,   63,   -3,  124,   85,    0
  260,20170323,   82,   19,  140,  109,    0
  260,20170324,   84,   31,  142,  110,    0
  260,20170325,   85,   21,  143,  105,    0
  260,20170326,   80,   33,  130,   73,    0
  260,20170327,   92,   18,  174,  115,    0
  260,20170328,  113,    6,  197,  114,    1
  260,20170329,  126,  103,  147,   12,   -1
  260,20170330,  157,  108,  218,   61,    0
  260,20170331,  145,   89,  218,   55,   14
  260,20170401,  108,   60,  141,    2,   -1
  260,20170402,  103,   44,  169,   98,    0
  260,20170403,   81,   27,  143,   48,    0
  260,20170404,   98,   22,  165,   66,    0
  260,20170405,   92,   62,  128,   52,    0
  260,20170406,   81,   38,  118,   26,   -1
  260,20170407,  105,   73,  138,   15,    0
  260,20170408,   96,   29,  155,   50,    0
  260,20170409,  117,    8,  210,  123,    0
  260,20170410,   98,   41,  155,   53,    0
  260,20170411,   96,   23,  138,   86,    0
  260,20170412,   98,   83,  119,    9,    8
  260,20170413,   93,   60,  133,   77,   -1
  260,20170414,   99,   65,  130,   24,   -1
  260,20170415,   96,   65,  121,   47,   34
  260,20170416,   79,   50,  108,   34,   29
