lag_1,lag_2,lag_4,lag_8,rolling_mean_4,rolling_mean_8,rolling_std_4,rolling_std_8,week_of_year,week_cos,hol_easter,hol_kings_day,hol_pentecost,hol_christmas,temp_mean,precip_sum,sunshine_sum,lockdown_days,school_holiday,product_id,week_start
10.301654,38.042057,-14.721142,18.603151,111.50309,16.166868,-13.631667,11.534063,38.301044,-2.8528225,-1.2946398,-0.6088447,-0.3878125,0.030267768,-11.016345,-1.804295,7.1678925,13.191476,2.448233,7,2021-01-04
-4.1000857,-7.936773,-13.457062,0.3831993,58.288586,33.498295,-5.2619243,6.802868,21.674114,-4.4676986,-1.2220722,-0.03556436,-0.28312418,0.0021468108,-8.131301,1.3451225,4.050942,18.047411,-0.020817365,8,2021-01-04
80.72736,-5.6448684,1.313699,5.6636524,24.146265,3.6681316,-6.0682225,16.980228,59.73642,1.2075697,-0.33011448,0.061557155,-0.049875468,0.0020384162,-11.533196,5.3812275,6.988721,8.8788395,0.18819717,11,2021-01-04
-16.559523,9.3765,-1.5704887,7.8153195,53.450233,14.925596,-5.10984,-3.9233475,23.2918,-5.178978,-1.1927671,-0.059512272,-0.09598269,0.015650988,-7.901689,1.1797407,1.9675584,18.268024,0.1641595,13,2021-01-04
-13.674592,-5.125064,-0.80971473,-3.5120115,-1.9395791,5.81083,4.569795,-0.32869983,13.676048,0.16772072,-0.35034022,-0.033942472,-0.03011542,0.0024192072,-3.4915497,1.0175014,0.5187574,6.178987,0.025566919,17,2021-01-04
-14.662174,-7.52206,-0.38012487,-2.5851483,-11.939684,6.5294642,0.19777177,0.07410138,12.716015,0.16309892,-0.3060905,-0.0668288,-0.035348978,0.0024192072,-3.0054624,1.133383,0.37149844,4.090287,0.08808074,18,2021-01-04
-13.172656,-3.312891,-9.187421,5.2170954,50.643803,13.909671,-13.227819,-7.7698197,17.414503,-5.7461486,-1.2753427,-0.07153395,-0.095907,0.0020384162,-7.635443,1.0925773,0.02883146,19.730251,0.1641595,21,2021-01-04
-16.390871,-4.532817,0.6622035,10.758429,-2.0788426,9.50216,4.0599875,0.7398824,16.933474,-0.10752069,-0.21329063,-0.046514496,-0.032888163,0.0024192072,-5.275991,0.80658567,-0.51735115,7.3870063,-0.030839749,32,2021-01-04
-14.236322,-8.478882,0.114026815,-2.8528135,-16.768822,-2.7774096,3.6551914,0.1328061,8.645489,-0.22448528,-0.24656941,-0.013812224,-0.028504048,0.0024192072,-3.1361983,0.9249561,0.2316287,4.3602753,0.098950915,39,2021-01-04
-9.885873,-5.4744987,2.1979504,2.7952898,-12.008396,7.2204337,-0.4666264,2.6317222,16.51413,0.38770503,-0.3008957,-0.08912182,-0.032888163,0.0024192072,-2.052362,1.0178316,0.26311827,5.745307,0.12612993,40,2021-01-04
-20.319572,2.8554091,3.3817844,12.220833,20.913965,5.0360937,-0.2593377,2.6489284,21.913094,-6.1879234,-1.5258746,-0.055822138,-0.033671074,0.021217467,-8.15966,0.39232767,2.4275439,10.370785,0.16780631,42,2021-01-04
-18.650093,-5.608033,4.760113,8.726773,-2.8626418,10.523213,-1.2541256,11.032312,16.918999,-3.2008073,-0.8140107,-0.046906292,-0.03577784,0.0024192072,-5.858052,1.1673003,-1.7777128,9.006844,0.15998566,44,2021-01-04
-17.239367,-4.318901,4.6830997,6.797625,-0.24559778,9.620879,-0.78215414,6.5978003,16.823988,-4.5196657,-0.94812006,-0.07685834,-0.04231335,0.0024192072,-4.774551,1.328496,-0.9690866,8.236179,0.034755662,46,2021-01-04
-2.3741305,-3.6297786,-0.34146696,-3.4130394,5.12029,5.3612757,4.2303824,-1.4069966,13.695804,-1.0010911,-0.45500824,-0.056908425,-0.038317557,0.0024192072,-5.7068844,0.94137776,0.47800416,7.409269,0.080105335,48,2021-01-04
-1.92495,-7.270831,-6.8436656,7.507173,20.463663,6.908284,-2.628636,1.8919669,18.899702,-4.7915673,-1.3732463,-0.031841073,-0.05267305,0.0024192072,-8.474344,0.8337316,0.38469005,8.118283,0.024817588,50,2021-01-04
-17.309196,-6.8767915,0.9705671,2.647118,-10.8183,5.769644,0.36720908,0.7608343,15.668854,0.7302259,-0.29377848,-0.014204021,-0.032888163,0.0024192072,-3.0666118,0.96774834,0.53640527,4.526145,0.19553924,60,2021-01-04
-18.388075,-7.4253683,2.279744,9.224636,-5.3789377,9.519265,-0.75058484,0.4578577,15.784419,-1.0613246,-0.70349395,-0.025372874,-0.032924313,0.0024192072,-5.1273346,1.1343641,-1.4990155,5.2185926,0.034755662,63,2021-01-04
-17.874374,-7.944939,-0.27288848,-1.0321685,-14.486769,6.111292,4.6449747,0.4272783,11.412765,0.6489971,-0.30542943,-0.013812224,-0.035006005,0.0024192072,-2.8796427,0.9429909,0.5019328,4.097386,0.019980434,66,2021-01-04
7.6928396,-4.761607,0.8344239,5.7701874,24.469946,7.6067247,-0.6788925,8.127839,27.227882,-5.687456,-0.8422707,-0.046383552,-0.031846616,0.0024192072,-11.939808,1.3678194,2.4094079,11.659174,0.15473787,67,2021-01-04
6.1063223,-4.384491,0.14939329,-4.5905247,52.155605,9.957776,-4.496562,4.4760776,28.702398,-5.706095,-1.1713842,-0.043053053,-0.047964804,0.015650988,-11.876101,1.8225005,4.225408,16.646631,0.078142665,68,2021-01-04
-18.880535,-7.2262163,-1.0855323,0.45734563,-11.76422,8.546441,0.95967096,1.6320894,10.724033,0.7400124,-0.40560877,-0.026507981,-0.034194443,0.0024192072,-2.178938,0.98780596,0.36663744,4.2608953,0.30574954,71,2021-01-04
-18.00529,-7.774577,-0.6654523,-3.4597342,-14.360245,-3.8903387,4.4289427,-0.84495103,8.367323,-0.06875008,-0.1992905,-0.012409053,-0.024802761,0.0024192072,-2.6329165,0.87618995,0.415329,4.005872,0.006039475,72,2021-01-04
-14.511811,-8.526497,-0.6794073,-3.0087368,-6.9934583,6.0129395,4.2964416,0.25472036,12.266349,0.6618939,-0.31285048,-0.012409053,-0.034208298,0.0024192072,-3.4836879,0.9019147,0.54658926,4.769201,0.08535311,78,2021-01-04
-9.991912,0.30792683,-6.5613775,-1.2533741,5.828449,10.777168,-1.9013375,0.9934048,10.528882,-2.4307203,-1.1247897,-0.045673992,-0.10527301,0.0020384162,-2.6270032,0.86341643,-0.049196526,6.5902047,0.08339045,79,2021-01-04
-19.488508,-7.9040966,-0.568401,-3.098604,-17.59243,-2.067913,4.7021475,0.15461338,8.393953,-0.036935713,-0.2982845,-0.012409053,-0.028504048,0.0024192072,-2.8166234,0.8606405,0.46072164,3.89318,0.025566919,83,2021-01-04
-19.761446,-8.0147085,-0.37414497,-3.3267229,-17.905502,-1.9802375,4.478444,0.021803938,8.055024,-0.14785758,-0.2365021,-0.012409053,-0.0325758,0.0024192072,-2.600443,0.85505533,0.43528292,3.7679977,0.019553093,90,2021-01-04
-19.945627,-7.2508273,0.9759747,-3.7313817,-18.301998,-4.0846744,4.3127074,-1.2176783,8.036009,-0.17548147,-0.1992905,-0.012409053,-0.028874518,0.0024192072,-2.343863,0.9435675,0.38789824,3.6661408,0.03916471,94,2021-01-04
-16.2803,-7.180647,-0.84957886,-1.101378,-12.947416,6.381499,4.216888,0.43704093,12.865215,0.594437,-0.3013474,-0.013812224,-0.039077763,0.0024192072,-2.99497,1.0918744,0.3888742,4.086592,0.085780464,107,2021-01-04
-18.453184,-0.8722857,-0.41597778,-3.0365076,-10.246125,-2.3457022,-0.80499506,-0.06645437,9.087122,-0.4147883,-0.27897382,-0.012399158,-0.041075855,0.021217467,-2.8875513,1.0905249,0.69403595,4.3620715,0.059811838,111,2021-01-04
-14.089904,-8.279108,-0.48327702,-2.4493532,-12.148682,-0.71389264,4.583839,-0.4578758,9.068199,0.0420366,-0.28968734,-0.013812224,-0.029301753,0.0024192072,-3.1483655,0.90958357,0.5796285,4.5330205,0.019553093,117,2021-01-04
-17.740528,-6.712631,-0.5453925,-3.0031984,-11.473911,-0.82927465,4.275515,0.017355783,9.103045,0.1878269,-0.28199354,-0.012409053,-0.028504048,0.0024192072,-2.9222357,1.0065211,0.3878372,4.088622,0.08535311,140,2021-01-04
-19.81239,-7.003509,-0.6369304,-2.8356812,-16.841637,1.6847025,4.1417494,0.73369396,10.117021,0.15496972,-0.2982845,-0.013535787,-0.028504048,0.0024192072,-2.8830323,0.9640893,0.45116845,3.9498003,0.025566919,146,2021-01-04
-19.145094,-6.979669,2.7889662,7.851077,-15.728376,1.5827544,5.1031837,0.14406283,13.616211,0.18382958,-0.30769598,-0.013812224,-0.02718391,0.0024192072,-1.767152,0.87394774,1.1036714,4.559971,0.06634377,154,2021-01-04
-17.7149,-7.8417373,-0.6173289,-3.6731758,-14.648866,-2.0184982,4.7082834,-0.05756471,8.642697,0.029236145,-0.2610729,-0.012409053,-0.024802761,0.0024192072,-2.9280672,0.9334504,0.4176586,4.03207,0.025566919,155,2021-01-04
-20.06166,-8.096336,0.9487722,3.6889443,-16.564144,4.322188,4.5485706,1.0122719,13.884524,0.55907,-0.30769598,-0.013812224,-0.03735249,0.0024192072,-1.486083,0.84547246,0.5040118,3.9677024,0.24323568,164,2021-01-04
-16.593578,-1.6064569,-0.24897563,-2.6943624,-11.560452,-0.78203833,-0.2970305,0.36727443,9.363253,-0.21169147,-0.284367,-0.012800849,-0.028504048,0.0024192072,-2.9938962,1.2127578,0.75953376,4.262521,0.06582567,172,2021-01-04
-16.125866,-7.212627,-0.28103447,-2.739001,-14.219984,1.2193446,4.2553635,0.25771433,10.066076,0.035506405,-0.2975713,-0.013812224,-0.028504048,0.0024192072,-2.932936,1.0058022,0.629718,4.055204,0.019553093,174,2021-01-04
-10.934625,-7.1968703,-0.054558508,-3.1333964,-1.9740964,6.0080094,1.0029948,-0.06990409,12.12033,0.069444,-0.37475452,-0.05662729,-0.033816703,0.0024192072,-3.7066648,0.8322703,0.16099076,6.8404474,0.08535311,176,2021-01-04
