year,week,has_holiday,min_days_to_holiday,hol_ascension,hol_christmas,hol_easter,hol_kings_day,hol_liberation_day,hol_new_year,hol_pentecost
2018,1,1,0,0,0,0,0,0,1,0
2018,2,0,7,0,0,0,0,0,0,0
2018,3,0,14,0,0,0,0,0,0,0
2018,4,0,21,0,0,0,0,0,0,0
2018,5,0,28,0,0,0,0,0,0,0
2018,6,0,35,0,0,0,0,0,0,0
2018,7,0,40,0,0,0,0,0,0,0
2018,8,0,33,0,0,0,0,0,0,0
2018,9,0,26,0,0,0,0,0,0,0
2018,10,0,19,0,0,0,0,0,0,0
2018,11,0,12,0,0,0,0,0,0,0
2018,12,0,5,0,0,0,0,0,0,0
2018,13,1,0,0,0,1,0,0,0,0
2018,14,1,0,0,0,1,0,0,0,0
2018,15,0,7,0,0,0,0,0,0,0
2018,16,0,5,0,0,0,0,0,0,0
2018,17,1,0,0,0,0,1,0,0,0
2018,18,0,3,0,0,0,0,0,0,0
2018,19,1,0,1,0,0,0,0,0,0
2018,20,1,0,0,0,0,0,0,0,1
2018,21,1,0,0,0,0,0,0,0,1
2018,22,0,7,0,0,0,0,0,0,0
2018,23,0,14,0,0,0,0,0,0,0
2018,24,0,21,0,0,0,0,0,0,0
2018,25,0,28,0,0,0,0,0,0,0
2018,26,0,35,0,0,0,0,0,0,0
2018,27,0,42,0,0,0,0,0,0,0
2018,28,0,49,0,0,0,0,0,0,0
2018,29,0,56,0,0,0,0,0,0,0
2018,30,0,63,0,0,0,0,0,0,0
2018,31,0,70,0,0,0,0,0,0,0
2018,32,0,77,0,0,0,0,0,0,0
2018,33,0,84,0,0,0,0,0,0,0
2018,34,0,91,0,0,0,0,0,0,0
2018,35,0,98,0,0,0,0,0,0,0
2018,36,0,105,0,0,0,0,0,0,0
2018,37,0,100,0,0,0,0,0,0,0
2018,38,0,93,0,0,0,0,0,0,0
2018,39,0,86,0,0,0,0,0,0,0
2018,40,0,79,0,0,0,0,0,0,0
2018,41,0,72,0,0,0,0,0,0,0
2018,42,0,65,0,0,0,0,0,0,0
2018,43,0,58,0,0,0,0,0,0,0
2018,44,0,51,0,0,0,0,0,0,0
2018,45,0,44,0,0,0,0,0,0,0
2018,46,0,37,0,0,0,0,0,0,0
2018,47,0,30,0,0,0,0,0,0,0
2018,48,0,23,0,0,0,0,0,0,0
2018,49,0,16,0,0,0,0,0,0,0
2018,50,0,9,0,0,0,0,0,0,0
2018,51,0,2,0,0,0,0,0,0,0
2018,52,1,0,0,1,0,0,0,0,0
2019,1,1,0,0,0,0,0,0,1,0
2019,2,0,6,0,0,0,0,0,0,0
2019,3,0,13,0,0,0,0,0,0,0
2019,4,0,20,0,0,0,0,0,0,0
2019,5,0,27,0,0,0,0,0,0,0
2019,6,0,34,0,0,0,0,0,0,0
2019,7,0,41,0,0,0,0,0,0,0
2019,8,0,48,0,0,0,0,0,0,0
2019,9,0,47,0,0,0,0,0,0,0
2019,10,0,40,0,0,0,0,0,0,0
2019,11,0,33,0,0,0,0,0,0,0
2019,12,0,26,0,0,0,0,0,0,0
2019,13,0,19,0,0,0,0,0,0,0
2019,14,0,12,0,0,0,0,0,0,0
2019,15,0,5,0,0,0,0,0,0,0
2019,16,1,0,0,0,1,0,0,0,0
2019,17,1,0,0,0,1,1,0,0,0
2019,18,0,2,0,0,0,0,0,0,0
2019,19,0,9,0,0,0,0,0,0,0
2019,20,0,11,0,0,0,0,0,0,0
2019,21,0,4,0,0,0,0,0,0,0
2019,22,1,0,1,0,0,0,0,0,0
2019,23,1,0,0,0,0,0,0,0,1
2019,24,1,0,0,0,0,0,0,0,1
2019,25,0,7,0,0,0,0,0,0,0
2019,26,0,14,0,0,0,0,0,0,0
2019,27,0,21,0,0,0,0,0,0,0
2019,28,0,28,0,0,0,0,0,0,0
2019,29,0,35,0,0,0,0,0,0,0
2019,30,0,42,0,0,0,0,0,0,0
2019,31,0,49,0,0,0,0,0,0,0
2019,32,0,56,0,0,0,0,0,0,0
2019,33,0,63,0,0,0,0,0,0,0
2019,34,0,70,0,0,0,0,0,0,0
2019,35,0,77,0,0,0,0,0,0,0
2019,36,0,84,0,0,0,0,0,0,0
2019,37,0,91,0,0,0,0,0,0,0
2019,38,0,94,0,0,0,0,0,0,0
2019,39,0,87,0,0,0,0,0,0,0
2019,40,0,80,0,0,0,0,0,0,0
2019,41,0,73,0,0,0,0,0,0,0
2019,42,0,66,0,0,0,0,0,0,0
2019,43,0,59,0,0,0,0,0,0,0
2019,44,0,52,0,0,0,0,0,0,0
2019,45,0,45,0,0,0,0,0,0,0
2019,46,0,38,0,0,0,0,0,0,0
2019,47,0,31,0,0,0,0,0,0,0
2019,48,0,24,0,0,0,0,0,0,0
2019,49,0,17,0,0,0,0,0,0,0
2019,50,0,10,0,0,0,0,0,0,0
2019,51,0,3,0,0,0,0,0,0,0
2019,52,1,0,0,1,0,0,0,0,0
2020,1,1,0,0,0,0,0,0,1,0
2020,2,0,5,0,0,0,0,0,0,0
2020,3,0,12,0,0,0,0,0,0,0
2020,4,0,19,0,0,0,0,0,0,0
2020,5,0,26,0,0,0,0,0,0,0
2020,6,0,33,0,0,0,0,0,0,0
2020,7,0,40,0,0,0,0,0,0,0
2020,8,0,47,0,0,0,0,0,0,0
2020,9,0,40,0,0,0,0,0,0,0
2020,10,0,33,0,0,0,0,0,0,0
2020,11,0,26,0,0,0,0,0,0,0
2020,12,0,19,0,0,0,0,0,0,0
2020,13,0,12,0,0,0,0,0,0,0
2020,14,0,5,0,0,0,0,0,0,0
2020,15,1,0,0,0,1,0,0,0,0
2020,16,1,0,0,0,1,0,0,0,0
2020,17,0,1,0,0,0,0,0,0,0
2020,18,1,0,0,0,0,1,0,0,0
2020,19,1,0,0,0,0,0,1,0,0
2020,20,0,4,0,0,0,0,0,0,0
2020,21,1,0,1,0,0,0,0,0,0
2020,22,1,0,0,0,0,0,0,0,1
2020,23,1,0,0,0,0,0,0,0,1
2020,24,0,7,0,0,0,0,0,0,0
2020,25,0,14,0,0,0,0,0,0,0
