,mean_rank,std_rank,min_rank,max_rank
rolling_mean_4,1.0,0.0,1,1
lag_1,2.4,0.89,2,4
lag_2,3.4,1.14,2,5
rolling_mean_8,3.6,0.89,3,5
week_of_year,5.4,0.55,5,6
lag_8,7.6,1.34,7,10
sunshine_sum,9.2,2.17,8,13
temp_max,10.8,3.03,8,14
rolling_std_4,11.0,7.35,4,20
rolling_std_8,11.4,3.21,7,15
precip_sum,12.6,2.51,9,16
month_cos,12.8,3.77,9,17
week_cos,13.4,3.65,10,19
week_sin,14.2,12.74,6,35
month,14.6,2.61,12,18
lag_4,15.2,5.36,11,24
min_days_to_holiday,15.4,4.51,9,21
month_sin,17.8,5.22,11,25
lockdown_days,18.0,3.16,13,21
temp_anomaly,19.8,3.42,16,25
temp_min,20.4,4.83,12,24
hol_easter,22.6,3.78,17,27
school_summer,25.2,5.4,20,32
temp_mean,25.4,3.78,20,29
lockdown,26.8,7.66,17,33
school_holiday,28.0,4.42,22,33
school_autumn,28.8,6.94,23,40
hol_ascension,30.0,5.34,24,36
has_holiday,30.2,5.97,23,37
hol_new_year,30.8,4.97,26,39
school_christmas,30.8,8.41,18,39
is_month_end,31.2,4.82,26,37
is_month_start,32.0,5.87,25,40
hol_kings_day,32.6,4.62,27,38
hol_liberation_day,32.6,4.28,26,37
school_may,33.0,6.0,28,40
hol_pentecost,33.6,5.59,26,40
school_spring,33.6,6.73,22,39
heavy_rain,35.6,3.44,31,39
hol_christmas,37.2,2.28,34,40
