product_id,week,sku_sold,week_start
0,2020-06-22/2020-06-28,469,2020-06-22
0,2020-09-14/2020-09-20,313,2020-09-14
0,2020-12-14/2020-12-20,3,2020-12-14
0,2021-06-21/2021-06-27,624,2021-06-21
1,2019-08-26/2019-09-01,63,2019-08-26
1,2019-09-09/2019-09-15,1508,2019-09-09
1,2019-12-30/2020-01-05,62,2019-12-30
1,2020-11-02/2020-11-08,249,2020-11-02
1,2020-11-09/2020-11-15,514,2020-11-09
1,2021-01-11/2021-01-17,13,2021-01-11
1,2021-06-14/2021-06-20,312,2021-06-14
1,2021-06-28/2021-07-04,440,2021-06-28
1,2021-07-05/2021-07-11,187,2021-07-05
1,2021-07-12/2021-07-18,627,2021-07-12
1,2021-08-16/2021-08-22,7,2021-08-16
1,2021-08-23/2021-08-29,2,2021-08-23
1,2021-10-18/2021-10-24,380,2021-10-18
1,2021-10-25/2021-10-31,876,2021-10-25
1,2021-11-01/2021-11-07,12,2021-11-01
1,2021-12-06/2021-12-12,5,2021-12-06
2,2018-02-26/2018-03-04,344,2018-02-26
2,2018-03-05/2018-03-11,369,2018-03-05
2,2018-03-12/2018-03-18,499,2018-03-12
2,2018-03-19/2018-03-25,228,2018-03-19
2,2018-03-26/2018-04-01,217,2018-03-26
2,2018-04-02/2018-04-08,285,2018-04-02
2,2018-04-09/2018-04-15,798,2018-04-09
2,2018-04-16/2018-04-22,171,2018-04-16
2,2018-04-23/2018-04-29,329,2018-04-23
2,2018-04-30/2018-05-06,173,2018-04-30
2,2018-05-07/2018-05-13,171,2018-05-07
2,2018-05-14/2018-05-20,57,2018-05-14
2,2018-05-21/2018-05-27,171,2018-05-21
2,2018-05-28/2018-06-03,171,2018-05-28
2,2018-06-04/2018-06-10,85,2018-06-04
2,2018-06-11/2018-06-17,114,2018-06-11
2,2018-06-18/2018-06-24,112,2018-06-18
2,2018-06-25/2018-07-01,171,2018-06-25
2,2018-07-02/2018-07-08,172,2018-07-02
2,2018-07-16/2018-07-22,114,2018-07-16
2,2018-07-23/2018-07-29,114,2018-07-23
2,2018-08-13/2018-08-19,110,2018-08-13
2,2018-08-20/2018-08-26,57,2018-08-20
2,2018-08-27/2018-09-02,57,2018-08-27
2,2018-09-24/2018-09-30,0,2018-09-24
2,2019-04-01/2019-04-07,342,2019-04-01
2,2019-04-08/2019-04-14,457,2019-04-08
2,2019-04-15/2019-04-21,228,2019-04-15
2,2019-04-22/2019-04-28,172,2019-04-22
2,2019-04-29/2019-05-05,283,2019-04-29
2,2019-05-06/2019-05-12,520,2019-05-06
2,2019-05-13/2019-05-19,343,2019-05-13
2,2019-05-20/2019-05-26,287,2019-05-20
2,2019-05-27/2019-06-02,115,2019-05-27
2,2019-06-03/2019-06-09,228,2019-06-03
2,2019-06-10/2019-06-16,57,2019-06-10
2,2019-06-17/2019-06-23,171,2019-06-17
2,2019-06-24/2019-06-30,114,2019-06-24
2,2019-07-01/2019-07-07,57,2019-07-01
2,2019-07-08/2019-07-14,53,2019-07-08
2,2019-07-15/2019-07-21,57,2019-07-15
2,2019-07-22/2019-07-28,86,2019-07-22
2,2019-07-29/2019-08-04,28,2019-07-29
2,2019-08-05/2019-08-11,114,2019-08-05
2,2019-08-19/2019-08-25,85,2019-08-19
2,2020-02-03/2020-02-09,517,2020-02-03
2,2020-02-10/2020-02-16,171,2020-02-10
2,2020-02-17/2020-02-23,112,2020-02-17
2,2020-02-24/2020-03-01,229,2020-02-24
2,2020-03-02/2020-03-08,114,2020-03-02
2,2020-03-09/2020-03-15,344,2020-03-09
2,2020-03-16/2020-03-22,343,2020-03-16
2,2020-03-23/2020-03-29,744,2020-03-23
2,2020-03-30/2020-04-05,285,2020-03-30
2,2020-04-06/2020-04-12,402,2020-04-06
2,2020-04-13/2020-04-19,685,2020-04-13
2,2020-04-20/2020-04-26,906,2020-04-20
2,2020-04-27/2020-05-03,515,2020-04-27
2,2020-05-04/2020-05-10,744,2020-05-04
2,2020-05-11/2020-05-17,458,2020-05-11
2,2020-05-18/2020-05-24,743,2020-05-18
2,2020-05-25/2020-05-31,401,2020-05-25
2,2020-06-01/2020-06-07,458,2020-06-01
2,2020-06-08/2020-06-14,114,2020-06-08
2,2020-06-15/2020-06-21,230,2020-06-15
2,2020-06-22/2020-06-28,171,2020-06-22
